시도,시군구,발생건수,위도,경도,시군구_전체명
경북,울진,6,36.99142658,129.404539057,울진군
강원,강릉,9,37.768356015,128.885092909,강릉시
경북,안동,10,35.228977019,128.909343666,안동시
충남,홍성,2,36.099392206,128.361008056,홍성군
강원,고성,4,38.2541312,128.559891145,고성군
충남,금산,7,35.219888279,128.151880319,금산군
경남,합천,4,35.575669523,128.164540464,합천군
강원,삼척,14,37.450847888,129.155508534,삼척시
강원,양구,7,38.132479114,127.988170252,양구군
전남,함평,2,35.063982007,126.517971764,함평군
경남,밀양,1,35.504016885,128.734759426,밀양시
울산,울주,10,35.483605385,129.303902089,울주군
경북,영덕,10,36.409825451,129.373565953,영덕군
강원,인제,10,38.071397662,128.178146791,인제군
경북,영주,8,37.743784955,127.198667041,영주시
경북,군위,5,36.239040505,128.567378312,군위군
전남,순천,13,34.985511152,127.498375348,순천시
강원,영월,9,37.12914379,128.829157281,영월군
충남,서산,4,36.782451284,126.466215589,서산시
경북,봉화,9,36.910959528,128.739407943,봉화군
경남,하동,3,35.808569714,126.892126963,하동군
경북,예천,10,36.773129572,126.446931304,예천군
충남,당진,4,36.883449833,126.643082752,당진군
경북,상주,6,36.409155405,128.150364105,상주시
강원,양양,7,38.078850878,128.621884376,양양군
충남,보령,3,36.339426448,126.599578194,보령시
대구,달성,5,37.493125874,127.123822492,달성군
충북,옥천,5,36.292312147,127.570977718,옥천군
충북,영동,4,37.005661207,127.274266353,영동군
강원,화천,6,38.113094142,127.699109691,화천군
부산,기장,5,35.236143524,129.21457466,기장군
부산,해운대,1,35.162236026,129.168521464,해운대구
경북,영천,10,35.966891869,128.943213305,영천시
충북,충주,1,36.988398082,127.82948585,충주시
경기,여주,6,37.313654451,127.63898171,여주군
경북,청송,4,35.129015311,128.972844609,청송군
경기,포천,14,37.889176306,127.204848282,포천시
강원,홍천,15,37.701909845,127.880749953,홍천군
강원,춘천,12,37.852780553,127.735500519,춘천시
충남,논산,1,36.191255977,127.09030249,논산시
경북,성주,8,35.197550407,128.714372836,성주군
충남,부여,5,36.274082174,126.877488088,부여군
전남,구례,2,35.21172696,127.468996025,구례군
경기,남양주,14,37.607307491,127.152810241,남양주시
강원,정선,10,37.638513989,127.031836369,정선군
인천,강화,2,37.744850801,126.494672769,강화군
경북,구미,2,36.158983273,128.33940823,구미시
충북,제천,3,37.154564355,128.228331827,제천시
강원,평창,7,37.662306174,128.662550627,평창군
부산,금정,1,37.366732253,126.942754929,금정구
경남,함양,5,35.523599276,127.730321916,함양군
강원,철원,6,38.142762156,127.303353407,철원군
경북,문경,6,36.586140679,128.188666385,문경시
경북,의성,4,36.357363855,128.700056495,의성군
울산,북,4,35.204281753,128.57370691,북구
충남,서천,1,36.085757781,126.684914041,서천군
전북,남원,3,35.423846297,127.408110807,남원시
경북,영양,6,36.666706556,129.112397136,영양군
경북,고령,7,35.269985276,128.793858589,고령군
충북,단양,6,36.980773931,128.3662278,단양군
대구,동,7,35.53046834,129.29614018,동구
경남,창원 마산합포,3,35.217334819,128.586678796,
전북,무주,6,36.009245947,127.664943179,무주군
경북,경주,15,35.856920098,129.220717241,경주시
충남,청양,2,37.487432769,126.789313141,청양군
경북,김천,3,36.136738377,128.113706121,김천시
경북,포항 남,3,35.982019987,129.445038302,
경기,양주,2,37.656640807,127.143408121,양주시
경기,하남,2,37.534560093,127.229215154,하남시
경기,안산,1,37.311376289,126.822510826,안산시
인천,연수,1,37.416907954,126.676947253,연수구
경기,가평,15,37.677543201,127.48445321,가평군
경기,파주,6,37.761245748,126.774678854,파주시
서울,종로,1,37.57341152,127.022379505,종로구
경남,창녕,2,35.544600568,128.492193201,창녕군
경남,산청,5,35.415024146,127.879262163,산청군
전북,완주,4,35.921009296,127.121242271,완주군
전남,곡성,1,35.284249724,127.28941672,곡성군
전남,장성,3,37.099835078,129.006294181,장성군
경기,양평,8,37.496047184,127.492753918,양평군
경기,안성,4,37.017939244,127.262103716,안성시
인천,옹진,3,37.254522959,126.30833607,옹진군
전남,광양,5,34.968736614,127.611634251,광양시
경남,함안,2,35.276887478,128.400282058,함안군
전북,임실,2,35.615767737,127.286057805,임실군
전북,고창,1,35.433912583,126.693922461,고창군
경북,경산,2,35.817581977,128.731690672,경산시
경기,과천,1,37.414809238,126.989678654,과천시
경남,김해,3,35.239353779,128.885799031,김해시
강원,동해,3,37.479489167,129.121621561,동해시
강원,태백,1,37.166240071,128.989592569,태백시
경기,평택,2,37.033911719,127.034322494,평택시
경기,수원 장안,2,37.314403116,126.983247524,
충북,청주 상당,6,36.601128316,127.500967626,
전남,화순,2,35.059106235,126.991019538,화순군
경남,의령,2,35.321199299,128.260438017,의령군
경기,시흥,2,37.320990974,126.690796587,시흥시
경기,김포,2,37.616347032,126.703506417,김포시
강원,횡성,5,37.484411512,127.980459566,횡성군
경기,연천,4,38.104917745,127.07919525,연천군
경남,양산,4,35.347724949,129.021695604,양산시
대구,달서,1,35.836368991,128.537413705,달서구
경기,광주,8,35.160759047,126.885526898,광주시
전남,영광,2,37.256650377,126.994402547,영광군
부산,영도,1,35.092148903,129.037704694,영도구
경기,화성,1,37.221758041,126.978704177,화성시
충남,천안,3,36.827056876,127.155958158,천안시
강원,원주,5,37.354373571,127.919767837,원주시
전남,해남,1,36.404663179,128.161329452,해남군
전남,고흥,3,34.605581011,127.279463815,고흥군
충남,예산,1,36.682402861,126.84903333,예산군
충북,보은,2,35.157368304,128.984179804,보은군
충남,공주,3,35.580239759,129.31943626,공주시
부산,강서,2,37.551005911,126.870087043,강서구
전남,신안,1,37.352450452,126.74525564,신안군
전북,부안,1,35.72225053,126.73426084,부안군
경기,동두천,1,37.927362575,127.053401136,동두천시
부산,사하,1,35.080967298,128.986317366,사하구
충북,괴산,1,36.803410281,127.793381004,괴산군
경기,고양 덕양,2,37.626698353,126.870728191,
충남,천안 동남,3,36.827056876,127.155958158,
경남,진주,2,35.219810803,128.148225242,진주시
제주,제주,1,33.253664518,126.510034058,제주시
서울,강남,1,35.230936097,128.88919491,강남구
서울,노원,1,37.618208451,127.07590758,노원구
인천,중,2,37.255425879,128.452267787,중구
전북,정읍,2,35.555137366,126.861749144,정읍시
충남,태안,1,37.206101792,127.017680194,태안군
경남,창원 마산회원,1,35.222667175,128.572895626,
대전,유성,1,37.749471798,127.042365937,유성구
경남,창원 의창,1,35.253559849,128.515260318,
경기,구리,2,37.605948538,127.135549652,구리시
경남,남해,1,36.870474784,127.439988739,남해군
충남,아산,1,37.402058466,127.272864329,아산시
강원,속초,1,38.192195365,128.542211655,속초시
경기,용인,1,37.295558048,127.115888963,용인시
경북,칠곡,1,35.965765007,128.401217098,칠곡군
전남,완도,1,34.312462718,126.758025624,
인천,서,2,36.606896899,127.4831785,서구
경남,통영,1,34.879802086,128.418666774,통영시
전북,진안,2,35.794260992,127.438396648,진안군
경기,고양,2,37.626698353,126.870728191,고양시
전북,장수,2,37.464003962,126.750266531,장수군
경남,거창,1,35.687977441,127.90391124,거창군
인천,남동,2,37.215800944,127.204668003,남동구
경기,의왕,1,37.386840516,126.977868046,의왕시
서울,은평,1,37.61697076,126.906390618,은평구
전북,전주 완산,1,35.782043461,127.129521941,
경기,이천,1,37.288795157,127.45900812,이천시
